2,A2M,D058186,Acute Kidney Injury
2,A2M,D000544,Alzheimer Disease
2,A2M,D006528,"Carcinoma, Hepatocellular"
2,A2M,D003110,Colonic Neoplasms
2,A2M,D008103,Liver Cirrhosis
2,A2M,D008106,"Liver Cirrhosis, Experimental"
2,A2M,D008171,Lung Diseases
2,A2M,D008175,Lung Neoplasms
2,A2M,D009404,Nephrotic Syndrome
53947,A4GALT,D002051,Burkitt Lymphoma
8086,AAAS,D011471,Prostatic Neoplasms
10157,AASS,D056486,Chemical and Drug Induced Liver Injury
18,ABAT,D001321,Autistic Disorder
18,ABAT,D053609,Lethargy
18,ABAT,D008106,"Liver Cirrhosis, Experimental"
18,ABAT,D009123,Muscle Hypotonia
18,ABAT,D011596,Psychomotor Disorders
18,ABAT,D012021,"Reflex, Abnormal"
18,ABAT,D012640,Seizures
19,ABCA1,D050197,Atherosclerosis
19,ABCA1,D015179,Colorectal Neoplasms
19,ABCA1,D006937,Hypercholesterolemia
19,ABCA1,D007676,"Kidney Failure, Chronic"
19,ABCA1,D015473,"Leukemia, Promyelocytic, Acute"
19,ABCA1,D010523,Peripheral Nervous System Diseases
26154,ABCA12,D015179,Colorectal Neoplasms
21,ABCA3,D015179,Colorectal Neoplasms
21,ABCA3,D006976,"Hypertension, Pulmonary"
21,ABCA3,D011658,Pulmonary Fibrosis
24,ABCA4,D015179,Colorectal Neoplasms
23461,ABCA5,D015179,Colorectal Neoplasms
5243,ABCB1,D001169,"Arthritis, Experimental"
5243,ABCB1,D001172,"Arthritis, Rheumatoid"
5243,ABCB1,D001943,Breast Neoplasms
5243,ABCB1,D002277,Carcinoma
5243,ABCB1,D006528,"Carcinoma, Hepatocellular"
5243,ABCB1,D002289,"Carcinoma, Non-Small-Cell Lung"
5243,ABCB1,D056486,Chemical and Drug Induced Liver Injury
5243,ABCB1,D015179,Colorectal Neoplasms
5243,ABCB1,D064420,Drug-Related Side Effects and Adverse Reactions
5243,ABCB1,D004827,Epilepsy
5243,ABCB1,D004938,Esophageal Neoplasms
5243,ABCB1,D006330,"Heart Defects, Congenital"
5243,ABCB1,D007024,"Hypotension, Orthostatic"
5243,ABCB1,D007680,Kidney Neoplasms
5243,ABCB1,D008106,"Liver Cirrhosis, Experimental"
5243,ABCB1,D016403,"Lymphoma, Large B-Cell, Diffuse"
5243,ABCB1,D001523,Mental Disorders
5243,ABCB1,D009325,Nausea
5243,ABCB1,D009362,Neoplasm Metastasis
5243,ABCB1,D009369,Neoplasms
5243,ABCB1,D009422,Nervous System Diseases
5243,ABCB1,D020258,Neurotoxicity Syndromes
5243,ABCB1,D009503,Neutropenia
5243,ABCB1,D010149,"Pain, Postoperative"
5243,ABCB1,D010300,Parkinson Disease
5243,ABCB1,D010302,"Parkinson Disease, Secondary"
5243,ABCB1,D010523,Peripheral Nervous System Diseases
5243,ABCB1,D011041,Poisoning
5243,ABCB1,D054198,Precursor Cell Lymphoblastic Leukemia-Lymphoma
5243,ABCB1,D014839,Vomiting
8647,ABCB11,D002779,Cholestasis
8647,ABCB11,D002780,"Cholestasis, Intrahepatic"
8647,ABCB11,D015179,Colorectal Neoplasms
8647,ABCB11,D011537,Pruritus
5244,ABCB4,D006528,"Carcinoma, Hepatocellular"
5244,ABCB4,D002761,Cholangitis
5244,ABCB4,D015179,Colorectal Neoplasms
5244,ABCB4,D004195,"Disease Models, Animal"
5244,ABCB4,D007249,Inflammation
5244,ABCB4,D041781,"Jaundice, Obstructive"
5244,ABCB4,D008103,Liver Cirrhosis
5244,ABCB4,D008105,"Liver Cirrhosis, Biliary"
5244,ABCB4,D008107,Liver Diseases
5244,ABCB4,D065626,Non-alcoholic Fatty Liver Disease
10058,ABCB6,D015179,Colorectal Neoplasms
22,ABCB7,D001259,Ataxia
4363,ABCC1,D001943,Breast Neoplasms
4363,ABCC1,D056486,Chemical and Drug Induced Liver Injury
4363,ABCC1,D015179,Colorectal Neoplasms
4363,ABCC1,D064420,Drug-Related Side Effects and Adverse Reactions
