Acebutolol,DB01193,5243,ABCB1,affects^binding
Acebutolol,DB01193,153,ADRB1,affects^cotreatment|increases^abundance
Acebutolol,DB01193,154,ADRB2,affects^binding|increases^abundance
Acebutolol,DB01193,2353,FOS,increases^expression
Acebutolol,DB01193,5594,MAPK1,affects^binding|increases^phosphorylation
Acebutolol,DB01193,5595,MAPK3,affects^binding|increases^phosphorylation
Acebutolol,DB01193,5972,REN,decreases^activity
Acetaminophen,DB00316,2,A2M,decreases^expression
Acetaminophen,DB00316,8086,AAAS,decreases^expression
Acetaminophen,DB00316,22848,AAK1,decreases^expression
Acetaminophen,DB00316,16,AARS1,increases^expression
Acetaminophen,DB00316,10157,AASS,decreases^expression
Acetaminophen,DB00316,18,ABAT,decreases^expression
Acetaminophen,DB00316,19,ABCA1,decreases^expression
Acetaminophen,DB00316,26154,ABCA12,decreases^expression
Acetaminophen,DB00316,21,ABCA3,increases^expression
Acetaminophen,DB00316,24,ABCA4,decreases^expression
Acetaminophen,DB00316,23461,ABCA5,increases^expression
Acetaminophen,DB00316,5243,ABCB1,affects^response to substance
Acetaminophen,DB00316,8647,ABCB11,decreases^expression
Acetaminophen,DB00316,5244,ABCB4,decreases^expression
Acetaminophen,DB00316,10058,ABCB6,decreases^expression
Acetaminophen,DB00316,22,ABCB7,decreases^expression
Acetaminophen,DB00316,11194,ABCB8,decreases^expression
Acetaminophen,DB00316,4363,ABCC1,increases^activity
Acetaminophen,DB00316,89845,ABCC10,increases^expression
Acetaminophen,DB00316,1244,ABCC2,affects^expression
Acetaminophen,DB00316,8714,ABCC3,decreases^expression
Acetaminophen,DB00316,10257,ABCC4,affects^expression
Acetaminophen,DB00316,10057,ABCC5,affects^expression
Acetaminophen,DB00316,368,ABCC6,decreases^expression
Acetaminophen,DB00316,6833,ABCC8,decreases^expression
Acetaminophen,DB00316,10060,ABCC9,decreases^expression
Acetaminophen,DB00316,215,ABCD1,increases^expression
Acetaminophen,DB00316,9619,ABCG1,increases^expression
Acetaminophen,DB00316,9429,ABCG2,decreases^expression
Acetaminophen,DB00316,64240,ABCG5,decreases^expression
Acetaminophen,DB00316,51099,ABHD5,increases^expression
Acetaminophen,DB00316,57406,ABHD6,affects^expression
Acetaminophen,DB00316,10006,ABI1,affects^expression
Acetaminophen,DB00316,25,ABL1,increases^expression
Acetaminophen,DB00316,27,ABL2,increases^expression
Acetaminophen,DB00316,28,ABO,decreases^expression
Acetaminophen,DB00316,31,ACACA,affects^expression
Acetaminophen,DB00316,32,ACACB,affects^expression
Acetaminophen,DB00316,27034,ACAD8,increases^expression
Acetaminophen,DB00316,34,ACADM,decreases^expression
Acetaminophen,DB00316,35,ACADS,decreases^expression
Acetaminophen,DB00316,36,ACADSB,decreases^expression
Acetaminophen,DB00316,37,ACADVL,decreases^expression
Acetaminophen,DB00316,38,ACAT1,decreases^expression
Acetaminophen,DB00316,39,ACAT2,decreases^expression
Acetaminophen,DB00316,1636,ACE,decreases^expression
Acetaminophen,DB00316,59272,ACE2,decreases^expression
Acetaminophen,DB00316,43,ACHE,affects^expression
Acetaminophen,DB00316,47,ACLY,affects^expression
Acetaminophen,DB00316,50,ACO2,increases^expression
Acetaminophen,DB00316,11332,ACOT7,increases^expression
Acetaminophen,DB00316,51,ACOX1,decreases^expression
Acetaminophen,DB00316,52,ACP1,affects^cotreatment|affects^expression
Acetaminophen,DB00316,53,ACP2,affects^expression
Acetaminophen,DB00316,55,ACP3,decreases^expression
Acetaminophen,DB00316,54,ACP5,affects^expression
Acetaminophen,DB00316,49,ACR,decreases^expression
Acetaminophen,DB00316,23205,ACSBG1,increases^expression
Acetaminophen,DB00316,2180,ACSL1,increases^expression
Acetaminophen,DB00316,2181,ACSL3,affects^expression
Acetaminophen,DB00316,2182,ACSL4,decreases^expression
Acetaminophen,DB00316,23305,ACSL6,affects^expression
Acetaminophen,DB00316,6296,ACSM3,decreases^expression
Acetaminophen,DB00316,79611,ACSS3,decreases^expression
Acetaminophen,DB00316,58,ACTA1,affects^expression
Acetaminophen,DB00316,59,ACTA2,increases^expression
Acetaminophen,DB00316,60,ACTB,affects^expression
Acetaminophen,DB00316,70,ACTC1,affects^expression
Acetaminophen,DB00316,71,ACTG1,decreases^expression
Acetaminophen,DB00316,72,ACTG2,affects^expression
Acetaminophen,DB00316,87,ACTN1,decreases^expression
Acetaminophen,DB00316,88,ACTN2,decreases^expression
Acetaminophen,DB00316,81,ACTN4,affects^expression
Acetaminophen,DB00316,10097,ACTR2,decreases^expression
Acetaminophen,DB00316,91,ACVR1B,decreases^expression
Acetaminophen,DB00316,92,ACVR2A,increases^expression
Acetaminophen,DB00316,94,ACVRL1,affects^cotreatment|affects^expression
Acetaminophen,DB00316,95,ACY1,affects^expression
Acetaminophen,DB00316,98,ACYP2,increases^expression
Acetaminophen,DB00316,100,ADA,decreases^expression
Acetaminophen,DB00316,102,ADAM10,decreases^expression
Acetaminophen,DB00316,6868,ADAM17,decreases^expression
Acetaminophen,DB00316,10863,ADAM28,increases^expression
Acetaminophen,DB00316,8754,ADAM9,affects^cotreatment|affects^expression
Acetaminophen,DB00316,9510,ADAMTS1,affects^expression
Acetaminophen,DB00316,11093,ADAMTS13,increases^expression
Acetaminophen,DB00316,9509,ADAMTS2,affects^expression
Acetaminophen,DB00316,11096,ADAMTS5,decreases^expression
Acetaminophen,DB00316,54507,ADAMTSL4,increases^expression
Acetaminophen,DB00316,103,ADAR,decreases^expression
Acetaminophen,DB00316,113,ADCY7,increases^expression
Acetaminophen,DB00316,115,ADCY9,decreases^expression
Acetaminophen,DB00316,116,ADCYAP1,affects^expression
Acetaminophen,DB00316,118,ADD1,increases^expression
Acetaminophen,DB00316,124,ADH1A,increases^expression
Acetaminophen,DB00316,126,ADH1C,decreases^expression
Acetaminophen,DB00316,128,ADH5,decreases^expression
Acetaminophen,DB00316,131,ADH7,increases^expression
Acetaminophen,DB00316,132,ADK,affects^expression
Acetaminophen,DB00316,133,ADM,increases^expression
Acetaminophen,DB00316,23394,ADNP,decreases^expression
Acetaminophen,DB00316,134,ADORA1,decreases^expression
Acetaminophen,DB00316,135,ADORA2A,affects^expression
Acetaminophen,DB00316,136,ADORA2B,increases^expression
Acetaminophen,DB00316,148,ADRA1A,decreases^expression
